,pag_pt,pag_en,type_pt,type_en,equipment_pt,equipment_en,problem_pt,problem_en,cause_pt,cause_en,action_pt,action_en, _pt, _en
0,1,1,Mecânico,Mechanical,Bomba,Pumps,Bomba muito quente e piscando,Pump too hot and flashing off,A válvula de descarga não está funcionando corretamente,Unloading valve not working properly,Reparar ou substituir a válvula de descarga,Repair or replace the unloading valve, , 
1,1,1,Mecânico,Mechanical,Bomba,Pumps,Bomba muito quente e piscando,Pump too hot and flashing off,Desgaste excessivo na bomba,Excessive wear in pump,Reparar ou substituir a bomba,Repair or replace the pump, , 
2,1,1,Mecânico,Mechanical,Bomba,Pumps,Bomba muito quente e piscando,Pump too hot and flashing off,Válvula de alívio ajustada muito alta,Relief valve set too high,Ajustar a válvula de alívio,Adjust the relief valve, , 
3,1,1,Mecânico,Mechanical,Bomba,Pumps,Bomba muito quente e piscando,Pump too hot and flashing off,Válvula de descarga estrangulada ou fechada,Discharge valve throttled or closed,Abrir a válvula de descarga,Open the discharge valve, , 
4,1,1,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular,"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate",Vazamento no tubo de sucção,Leak in suction pipe,Inspecionar a linha em busca de conexões quebradas ou soltas para determinar a origem do vazamento,Inspect the line for broken or loose connections to determine the source of the leak, , 
5,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular,"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate",Embalagem ou vedação desgastada,Packing or seal worn,Inspecionar a linha em busca de conexões quebradas ou soltas para determinar a origem do vazamento,Inspect the line for broken or loose connections to determine the source of the leak, , 
6,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular (continuação),"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate (continued)",Elevação muito grande,Lift too great,Relate isso como um problema de engenharia; Pode ser necessário fazer alterações no projeto; Limpe o filtro,Report this as an engineering problem; It may require design changes; Clean filters, , 
7,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular (continuação),"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate (continued)",Linha de descarga bloqueada,Discharge line blocked,Relate isso como um problema de engenharia; Pode ser necessário fazer alterações no projeto; Limpe o filtro,Report this as an engineering problem; It may require design changes; Clean filters, , 
8,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular (continuação),"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate (continued)",Filtro obstruído,Choked up filter,Relate isso como um problema de engenharia; Pode ser necessário fazer alterações no projeto; Limpe o filtro,Report this as an engineering problem; It may require design changes; Clean filters, , 
9,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular (continuação),"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate (continued)",Tubo de sucção muito longo,Suction pipe too long,Relate isso como um problema de engenharia; Pode ser necessário fazer alterações no projeto,Report this as an engineering problem; It may require design changes, , 
10,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular (continuação),"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate (continued)",Cabeça insuficiente,Insufficient head,Aumentar o nível da fonte de suprimento,Increase the supply source level, , 
11,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular (continuação),"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate (continued)",Válvula de sucção fechada,Suction valve shut,Aumentar o nível da fonte de suprimento,Increase the supply source level, , 
12,2,2,Mecânico,Mechanical,Bomba,Pumps,Bomba agitando o fluido e não descarregando água após uma rajada inicial e continuando a recircular (continuação),"Pump churning up fluid and failing to discharge water after an initial surge, and then continuing to recirculate (continued)",Excesso de ar no sistema,Too much air in the system,Verifique o sistema de sucção e as juntas de vedação em busca de entrada de ar; Verifique se há redemoinhos que estejam sugando ar para o sistema; Ajuste a bomba para reduzir a taxa de retirada da fonte de abastecimento,"Check the suction system and glands for air ingress; If the source is from a pond, check to see if there are any whirlpools sucking air into the system; Throttle the pump to reduce the rate of withdrawal from the supply source", , 
13,3,3,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba,Heavy vibrations during the operation of the pump,Bomba e motor desalinhados,Pump and motor out of alignment,Realizar análise de vibração para determinar a origem do(s) problema(s); A manutenção mecânica deve realizar verificações de alinhamento e fazer os ajustes necessários,Perform vibration analysis to determine the source of the problem(s); Mechanical maintenance should conduct alignment checks and make the necessary adjustments, , 
14,3,3,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba,Heavy vibrations during the operation of the pump,Eixo torto,Bent shaft,Realizar análise de vibração para determinar a origem do(s) problema(s); A manutenção mecânica deve realizar verificações de alinhamento e fazer os ajustes necessários,Perform vibration analysis to determine the source of the problem(s); Mechanical maintenance should conduct alignment checks and make the necessary adjustments, , 
15,3,3,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba,Heavy vibrations during the operation of the pump,Cavitação,Cavitation,Realizar análise de vibração para determinar a origem do(s) problema(s); A manutenção mecânica deve realizar verificações de alinhamento e fazer os ajustes necessários,Perform vibration analysis to determine the source of the problem(s); Mechanical maintenance should conduct alignment checks and make the necessary adjustments, , 
16,3,3,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba,Heavy vibrations during the operation of the pump,Recirculação,Recirculation,Realizar análise de vibração para determinar a origem do(s) problema(s); A manutenção mecânica deve realizar verificações de alinhamento e fazer os ajustes necessários,Perform vibration analysis to determine the source of the problem(s); Mechanical maintenance should conduct alignment checks and make the necessary adjustments, , 
17,3,3,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba,Heavy vibrations during the operation of the pump,Desgaste incomum,Unusual wear,Realizar análise de vibração para determinar a origem do(s) problema(s); A manutenção mecânica deve realizar verificações de alinhamento e fazer os ajustes necessários,Perform vibration analysis to determine the source of the problem(s); Mechanical maintenance should conduct alignment checks and make the necessary adjustments, , 
18,3,3,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba,Heavy vibrations during the operation of the pump,"Algum elemento rotativo quebrado, causando um desequilíbrio","Some rotating element broken off, causing an unbalanced condition",Realizar análise de vibração para determinar a origem do(s) problema(s); A manutenção mecânica deve realizar verificações de alinhamento e fazer os ajustes necessários,Perform vibration analysis to determine the source of the problem; Mechanical maintenance should conduct balancing corrections, , 
19,4,4,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba (continuação),Heavy vibrations during the operation of the pump (continued),Cavitação devido à falta de altura positiva líquida de sucção ou turbulência devido a curvas acentuadas nas tubulações imediatamente antes da bomba,Cavitation from lack of net positive suction head or turbulence from sharp pipe bends immediately upstream of the pump,Reduzir a temperatura de sucção,Lower the suction temperature, , 
20,4,4,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba (continuação),Heavy vibrations during the operation of the pump (continued),Pressão de sucção inferior à temperatura de saturação correspondente,Suction pressure lower than the corresponding saturation temperature,Reduzir a temperatura de sucção,Lower the suction temperature, , 
21,4,4,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba (continuação),Heavy vibrations during the operation of the pump (continued),Recirculação devido à linha de descarga bloqueada ou estreitada,Recirculation due to blocked or narrowed discharge line,Aumentar a folga nas pontas de saída das palhetas para eliminar e evitar restrições na descarga,Increase the clearance at the exit tips of vanes to eliminate and avoid discharge restrictions, , 
22,4,4,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba (continuação),Heavy vibrations during the operation of the pump (continued),Obstrução alojada em um lado do rotor,Obstruction lodged in one side of the impeller,Solicitar à manutenção que abra o invólucro da bomba e remova qualquer obstrução que possa estar presente; Verificar se não há danos adicionais,Have maintenance open the pump casing and remove any obstruction that may be there; Check to ensure that there is no further damage, , 
23,5,5,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba (continuação),Heavy vibrations during the operation of the pump (continued),Falta de lubrificante ou excesso de lubrificação,Lack of lubricant or over-lubrication,"Inspecionar os visores de nível de óleo ou verificar as varetas de medição; Adicionar lubrificante conforme necessário; Verificar se está sendo utilizado o grau adequado de lubrificante; Trocar o lubrificante, se necessário","Inspect the oil well sight glasses, or check the dipsticks; Add lubricant as necessary; Determine if the proper grade of lubricant is being used; Change the lubricant if necessary", , 
24,5,5,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba (continuação),Heavy vibrations during the operation of the pump (continued),Bomba não gira regularmente quando está ociosa,Pump not turned regularly when sitting idle,A bomba deve ser girada frequentemente quando está em espera para evitar marcas falsas e outros defeitos superficiais nos rolamentos,The pump should be turned frequently when it is on standby to avoid false brinelling and other surface defects on bearings, , 
25,5,5,Mecânico,Mechanical,Bomba,Pumps,Vibrações intensas durante a operação da bomba (continuação),Heavy vibrations during the operation of the pump (continued),Instalação incorreta,Incorrect installation,Entrar em contato com a manutenção mecânica para verificar a instalação,Contact mechanical maintenance to have the installation checked, , 
26,6,6,Mecânico,Mechanical,Bomba,Pumps,Capacidade ou pressão da bomba reduzida,Capacity or pressure of the pump reduced,Direção de rotação incorreta,Wrong direction of rotation,Verifique a direção da seta geralmente impressa no invólucro para verificar a direção de rotação; Solicite aos eletricistas que verifiquem as conexões de fiação e corrijam-nas,Check the direction of the arrow that is usually cast on the casing to verify the rotation direction; Have electricians check the wiring connections and correct them, , 
27,6,6,Mecânico,Mechanical,Bomba,Pumps,Capacidade ou pressão da bomba reduzida,Capacity or pressure of the pump reduced,Linha de descarga bloqueada,Discharge line blocked,Verifique a direção da seta geralmente impressa no invólucro para verificar a direção de rotação; Solicite aos eletricistas que verifiquem as conexões de fiação e corrijam-nas,Check the direction of the arrow that is usually cast on the casing to verify the rotation direction; Have electricians check the wiring connections and correct them, , 
