,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
0,obrigado voce pessoa incrivel,tenha uma boa jornada,nao estou satisfeit com a falt de cumpriment da promess,faz solucion problem superaquec maquin,oi como posso ser util
1,obrigado ajuda valiosa,desejo lhe tudo de melhor,nao satisfeit servic prest,gost de sab com poss format meu comput sem perd meus arquiv pess,oi busc orientac sobr topic especif
2,obrigado soluçao,bora,estou descontente com o prazo de entrega do produto,minha linha de produçao esta parada por causa de um problema como posso soluciona lo,oi prec de orientac sobr o proced corret
3,gratida prontida,ate colega,nao estou nada satisfeito com o suporte,dificuldad encontr caus raiz probl maquin po melhor anal,ola prec soluc par ca
4,nao exist palavr descrev gratida tod ajud,ate cam,desapont atend receb,dificuldad resolv,oi precis de ajud par resolv um problem em um sistem hidraul
5,agradec a prontida na respost,show de bol,estou insatisfeito com a falta de agilidade,preciso ajuda solucionar circuito eletrico,oi com poss ajud ness moment
6,muito grato pela sua ajuda voce foi extremamente util,fico grato,isso nao e just,notebook apresentando tela azul frequentemente,oi faço solucionar problema sobrecarga maquina
7,agradecido pela eficiencia,encerr dialog obrig,decepcionado qualidade produto,estou enfrentando problemas de umidade em meu sistema de refrigeraçao o que devo fazer,ola como posso contribuir para o seu sucesso
8,muit obrig pel assistenc,termin,estou tend probl com minh linh de produc,gostaria de saber como posso formatar meu computador sem perder meus arquivos pessoais,oi precis suport resolv impass
9,muit obrig pel informac,finalizar chat obrigado pela ajuda,minh maquin esta fic muit temp par por problem,com resolv problem no sistem de frei,oi com po torn seu dia melhor
10,obrig ajud vali insight perspicaz,to said cuid,tend probl produc,prec ajud solucion probl gerador eletr,oi prec de algum assistenc
11,obrig pacienc disposiça ajud,foi um praz convers contig,nao gost do atend receb,um do meus equip par de funcion o que dev faz,ei algu pod me ajud
12,grat pel soluc,ate brev meu chap,nao gost da falt de atença ao meu ca,a velocidade do meu motor esta irregular como solucionar esse problema,bom dia qual e o problem que voc esta enfrent
13,obrig pel seu trabalh,nos vem em brev,inaceitavel,minha maquina esta demorando a iniciar o que pode estar causando isso,oi gost tir duv
14,muit obrig voc verdad her,agradec pel soluc ate mais,fiquei muito irritado,sist automac nao funcion corret poss consert lo,e ai qual e a necess
15,obrigado pela paciencia e disposiçao em me ajudar,encerrar obrigado pela ajuda,to na merd com a falt de acompanh,geladeir nao gel adequ pod,ai poss ajud
16,agradec pel excelent atend e competenc,acho que ja convers bastant vam encerr,to merda demora,diagnosticar reparar problemas motor eletrico,oi com poss resolv isso
17,muit obrig pel profissional e dedicaça na resoluça do meu problem,encerrar chatbot obrigado pelo suporte,estou muit desapont com o atend receb,linh produça par caus problem po solucion lo,ola com poss contribu par o seu sucess
18,obrigado pela soluçao,nos fal em brev,nao feliz assistencia tecnica recebi,dificuldad par usar determin softwar,oi aqu par apoi
19,obrig por sua dedicac e compromet,tenh dia abenc,atendimento horrivel,nao consigo encontrar a causa de um defeito em uma maquina,oi aqu
20,agradec por torn isso uma experienc agradavel,tenh otim restant dia,to chat,estou com dificuldad par envi arquiv por e mail o que pod estar acontec,boa tarde o que posso fazer por voce hoje
21,agradeço muito pela resposta,sair,estou insatisfeito com o tempo que esta sendo levado para solucionar meu problema,precis orientaça faz manutença maquin form eficient,oi pront atend
22,agradec informac,abrac fic com deus,estou tend dificuldad em encontr pec par substituiça,estou tendo problemas para acessar meu e mail,oi estou aqu par te gui no process
23,agradec gentil,encerr chatbot obrig pel suport,nao recebi esperava,estou sofrendo com queda de produçao em minha linha de envase como posso solucionar o problema,oi defeit maquin
24,obrigado atençao dedicaçao caso,ate ver,nao to nad satisfeit com a qualidad,obstacul caminh precis sup lo pod gui,oi tud tranquil por ai com poss te auxil
