,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
0,obrigado,tchau,estou insatisfeito com o serviço prestado,pode ajudar,oi tudo bem
1,obrig,agradeço pela ajuda finalizando aqui a conversa,insatisfeito serviço prestado,pod ajud,oi tud bem
2,muito obrigado,agradeço ajuda finalizando aqui conversa,estou insatisfeit com o servic prest,estou com problema,oi o que voce precisa de auxilio
3,muit obrig,agradec pel ajud finaliz aqu a convers,insatisfeit servic prest,problema,oi voce precisa auxilio
4,agradeço,agradec ajud finaliz aqu convers,nao estou satisfeito com o produto que comprei,estou com problem,oi o que voc precis de auxili
5,agradec,agradec pel ajud finaliz aqu convers,nao satisfeito produto comprei,problem,oi voc precis auxili
6,gratidao,muito obrigado encerrando aqui,nao estou satisfeit com o produt que compr,estou com probl,oi o que voc prec de auxil
7,gratida,obrigado encerrando aqui,nao satisfeit produt compr,probl,oi voc prec auxil
8,grat,muit obrig encerr aqu,estou muito desapontado com o atendimento recebido,tenho um problema,boa tarde estou com duvidas
9,obrigado pela ajuda,obrig encerr aqu,desapontado atendimento recebido,tenh um problem,boa tarde duvidas
10,obrigado ajuda,certo vou ver se consigo resolver isso sozinho obrigado,estou muit desapont com o atend receb,tenh problem,boa tard estou com duv
11,obrig pel ajud,certo vou ver consigo resolver sozinho obrigado,desapont atend receb,tenh um probl,boa tard duv
12,obrig ajud,cert vou ver se consig resolv isso sozinh obrig,muit desapont atend receb,tenh probl,boa noite posso ajuda lo
13,muito obrigado pela assistencia,cert vou ver consig resolv sozinh obrig,estou extremamente insatisfeito com a qualidade do serviço,me ajuda,boa noit poss ajud lo
14,obrigado assistencia,encerrando a conversa por agora,extremamente insatisfeito qualidade serviço,ajuda,boa noit po ajud lo
15,muit obrig pel assistenc,encerrando conversa agora,estou extrem insatisfeit com a qualidad do servic,me ajud,oi preciso de sua ajuda para solucionar um problema de lubrificaçao
16,obrig assistenc,encerr a convers por agor,extrem insatisfeit qualidad servic,ajud,oi preciso ajuda solucionar problema lubrificaçao
17,agradeço pela orientaçao,encerr convers agor,nao estou contente com a soluçao oferecida,estou com dificuldade,oi precis de sua ajud par solucion um problem de lubrificaça
18,agradeço orientaçao,obrigado pela ajuda ate mais,nao contente soluçao oferecida,dificuldade,oi precis ajud solucion problem lubrificaça
19,agradec pel orientaça,obrigado ajuda ate,nao estou content com a soluça oferec,estou com dificuldad,oi precis ajud par solucion problem lubrificaça
20,agradec orientaça,obrig pel ajud ate mais,nao content soluça oferec,dificuldad,oi prec de sua ajud par solucion um probl de lubrificac
21,agradec pel orientac,obrig ajud ate,nao estou content com a soluc oferec,preciso de ajuda,oi prec ajud par solucion probl lubrificac
22,agradec orientac,obrig pel ajud ate,nao content soluc oferec,preciso ajuda,oi prec ajud solucion probl lubrificac
23,obrigado pelo suporte,ate a proxima,estou bastante insatisfeito com o tratamento que recebi,precis de ajud,bom dia qual e o desafio
24,obrigado suporte,ate proxima,bastante insatisfeito tratamento recebi,precis ajud,bom dia desafio
25,obrig pel suport,ate a proxim,estou bastant insatisfeit com o tratament que receb,prec de ajud,bom dia qual e o desafi
26,obrig suport,ate proxim,bastant insatisfeit tratament receb,prec ajud,bom dia desafi
27,muito obrigado pela colaboraçao,obrigado pelo suporte encerrando a conversa,nao fiquei satisfeito com o resultado final,alguem pode me ajudar,bom dia qual e o desaf
28,obrigado colaboraçao,obrigado suporte encerrando conversa,nao fiquei satisfeito resultado final,alguem pode ajudar,bom dia desaf
29,muit obrig pel colaboraça,obrig pel suport encerr a convers,nao fiqu satisfeit com o result final,algu pod me ajud,boa tarde como posso ajudar
30,obrig colaboraça,obrig suport encerr convers,nao fiqu satisfeit result final,algu pod ajud,boa tarde posso ajudar
31,muit obrig pel colaborac,obrig pel suport encerr convers,estou chateado com a forma como fui tratado,nao sei o que fazer,boa tard com poss ajud
32,obrig colaborac,vou encerrar a conversa obrigado pelo atendimento,chateado forma tratado,nao sei fazer,boa tard poss ajud
33,agradeço por resolver o problema,vou encerrar conversa obrigado atendimento,estou chat com a form com fui trat,nao sei o que faz,boa tard com po ajud
34,agradeço resolver problema,vou encerr a convers obrig pel atend,chat form trat,nao sei faz,boa tard po ajud
35,agradec por resolv o problem,vou encerr convers obrig atend,nao estou feliz com a resposta que recebi,estou perdido,bom dia como faço para identificar problema de aquecimento em uma maquina
36,agradec resolv problem,vou encerr convers obrig pel atend,nao feliz resposta recebi,perdido,bom dia faço identificar problema aquecimento maquina
37,agradec por resolv o probl,encerrando a conversa,nao estou feliz com a respost que receb,estou perd,bom dia com fac par identific problem de aquec em uma maquin
38,agradec resolv probl,encerrando conversa,nao feliz respost receb,perd,bom dia fac identific problem aquec maquin
39,grato pelo apoio,encerr a convers,estou muito frustrado com a demora na resoluçao do problema,estou com dificuldades,bom dia fac par identific problem aquec maquin
40,grato apoio,encerr convers,frustrado demora resoluçao problema,dificuldades,bom dia com fac par identific probl de aquec em uma maquin
41,grat pel apoi,obrigado pela assistencia podemos encerrar a conversa,estou muit frustr com a demor na resoluça do problem,estou com uma duvida,bom dia fac par identific probl aquec maquin
42,grat apoi,obrigado assistencia podemos encerrar conversa,frustr demor resoluça problem,duvida,bom dia fac identific probl aquec maquin
43,grat pel apo,obrig pel assistenc pod encerr a convers,muit frustr demor resoluça problem,estou com uma duv,ola como posso ser util
44,grat apo,obrig assistenc pod encerr convers,estou muit frustr com a demor na resoluc do probl,duv,ola posso util
45,obrigado pela atençao,obrig pel assistenc pod encerr convers,muit frustr demor resoluc probl,nao entendo,ola com poss ser util
46,obrigado atençao,muito obrigado pela assistencia ate breve,frustr demor resoluc probl,nao entend,ola poss util
47,obrig pel atença,obrigado assistencia ate breve,nao estou satisfeito com a falta de suporte recebida,como resolver,ola com po ser util
48,obrig atença,muit obrig pel assistenc ate brev,nao satisfeito falta suporte recebida,resolver,ola po util
49,obrig pel atenc,obrig assistenc ate brev,nao estou satisfeit com a falt de suport receb,com resolv,oi tudo bem o que voce precisa resolver
50,obrig atenc,grato a pelo auxilio,nao satisfeit falt suport receb,resolv,oi tudo bem voce precisa resolver
51,muito obrigado pela rapidez,grato auxilio,estou insatisfeito com a falta de clareza nas informaçoes,o que devo fazer,oi tud bem o que voc precis resolv
52,obrigado rapidez,grat a pel auxili,insatisfeito falta clareza informaçoes,devo fazer,oi tud bem voc precis resolv
53,muit obrig pel rapidez,grat auxili,estou insatisfeito com a falta de clareza na informaçoes,o que dev faz,oi tud bem o que voc prec resolv
54,obrig rapidez,grat pel auxili,estou insatisfeit com a falt de clarez nas informaço,dev faz,oi tud bem voc prec resolv
55,agradeço pela dedicaçao,grat a pel auxil,estou insatisfeit com a falt de clarez na informaço,estou empacado,ola preciso de sua ajuda para entender como funciona um plc
56,agradeço dedicaçao,grat pel auxil,insatisfeit falt clarez informaço,empacado,ola preciso ajuda entender funciona plc
57,agradec pel dedicaça,grat auxil,estou insatisfeit com a falt de clarez nas informac,estou empac,ola precis de sua ajud par entend com funcion um plc
58,agradec dedicaça,acho que ja resolvi o meu problema obrigado,estou insatisfeit com a falt de clarez na informac,empac,ola precis ajud entend funcion plc
59,agradec pel dedicac,acho ja resolvi problema obrigado,insatisfeit falt clarez informac,socorro,ola precis ajud par entend funcion plc
60,agradec dedicac,acho que ja resolv o meu problem obrig,nao estou contente com a falta de comprometimento da empresa,socorr,ola prec de sua ajud par entend com funcion um plc
61,gratidao pela soluçao,acho ja resolv problem obrig,nao contente falta comprometimento empresa,nao consigo,ola prec ajud par entend funcion plc
62,gratidao soluçao,acho que ja resolv o meu probl obrig,nao estou content com a falt de compromet da empres,nao consig,ola prec ajud entend funcion plc
63,gratida pel soluça,acho ja resolv probl obrig,nao content falt compromet empres,estou confuso,oi em que posso ajudar hoje
64,gratida soluça,encerrando a conversa por enquanto,estou bastante insatisfeito com a falta de profissionalismo,confuso,oi posso ajudar hoje
65,grat pel soluc,encerrando conversa enquanto,bastante insatisfeito falta profissionalismo,estou confus,oi em que poss ajud hoj
66,grat soluc,encerr a convers por enquant,estou bastant insatisfeit com a falt de profissional,confus,oi poss ajud hoj
67,obrigado pela gentileza,encerr convers enquant,bastant insatisfeit falt profissional,estou com uma dificuldade,oi em que po ajud hoj
68,obrigado gentileza,meu problema foi resolvido obrigado a,nao estou feliz com a falta de respeito demonstrada,estou com uma dificuldad,oi po ajud hoj
69,obrig pel gentil,problema resolvido obrigado,nao feliz falta respeito demonstrada,preciso de suporte,oi equipe
70,obrig gentil,meu problem foi resolv obrig a,nao estou feliz com a falt de respeit demonstr,preciso suporte,oi equip
71,muito obrigado por tudo,problem resolv obrig,nao feliz falt respeit demonstr,precis de suport,oi
72,obrigado tudo,meu probl foi resolv obrig a,estou muito decepcionado com o descaso da empresa,precis suport,hello
73,muit obrig por tud,probl resolv obrig,decepcionado descaso empresa,prec de suport,hell
74,obrig tud,finalizar conversa obrigado pela ajuda,estou muit decepcion com o descas da empres,prec suport,ola o que posso ajudar
75,muit obrig tud,finalizar conversa obrigado ajuda,decepcion descas empres,estou enfrentando um problema,ola posso ajudar
76,agradeço pelo suporte fornecido,finaliz convers obrig pel ajud,muit decepcion descas empres,enfrentando problema,ola o que poss ajud
77,agradeço suporte fornecido,finaliz convers obrig ajud,estou muit decepcion com o desc da empres,estou enfrent um problem,ola poss ajud
78,agradec pel suport fornec,ate a proxima vez,muit decepcion desc empres,enfrent problem,ola o que po ajud
79,agradec suport fornec,ate proxima vez,decepcion desc empres,estou enfrent um probl,ola po ajud
80,grato pela disponibilidade,ate a proxim vez,nao estou satisfeito com a falta de empatia por parte do suporte,enfrent probl,ola posso ajudar em algo
81,grato disponibilidade,ate proxim vez,nao satisfeito falta empatia parte suporte,alguma sugestao,ola posso ajudar algo
82,grat pel disponibil,obrigado pela ajuda encerrar a conversa,nao estou satisfeit com a falt de empat por part do suport,algum sugesta,ola poss ajud em algo
83,grat disponibil,obrigado ajuda encerrar conversa,nao satisfeit falt empat part suport,algum sugest,ola poss ajud algo
84,obrigado pela competencia,obrig pel ajud encerr a convers,estou insatisfeito com a falta de soluçao para o meu problema,estou com um contratempo,ola po ajud em algo
85,obrigado competencia,obrig ajud encerr convers,insatisfeito falta soluçao problema,contratempo,ola po ajud algo
86,obrig pel competenc,obrig pel ajud encerr convers,estou insatisfeit com a falt de soluça par o meu problem,estou com um contratemp,hey
87,obrig competenc,fiquei satisfeito a com as soluçoes apresentadas,insatisfeit falt soluça problem,contratemp,ola preciso de ajuda
88,muito obrigado pela ajuda prestada,fiquei satisfeito soluçoes apresentadas,insatisfeit falt soluça par problem,estou com um obstaculo,ola preciso ajuda
89,obrigado ajuda prestada,fiquei satisfeito a com a soluçoes apresentadas,estou insatisfeit com a falt de soluc par o meu probl,obstaculo,ola precis de ajud
90,muit obrig pel ajud prest,fiqu satisfeit a com as soluço apresent,insatisfeit falt soluc par probl,estou com um obstacul,ola precis ajud
91,obrig ajud prest,fiqu satisfeit a com a soluço apresent,insatisfeit falt soluc probl,obstacul,ola prec de ajud
